név;teljesítmény;feszültségszint;egyidejűségi tényező
Dugaszoló aljzat;600;230;0,6
Duralamp BT101N;36;230;0,4
Duralamp LC001;20;230;0,4
Eglo Turcona 60x60 felületre szerelhető;35;230;0,4
Gymled;286;230;0,9
Helios elszívó ventilátor DX200;34;230;0,4
Helios elszívó ventilátor DX400;71;230;0,4
Led szalag RGBW;18;230;0,4
Légkondícionáló;800;230;0,4
Menekülési útvonaljelző;10;230;1
Opple LEDpanel ;30;230;0,4
Trillux 74R WD2;19;230;0,4
Trilux 8851 RB/950-730 2G1S kültéri álló lámpa;10;230;0,4
Trilux Belviso D;29;230;0,4
Trilux SWFlow D2-L;27;230;0,4
Tükörvilágító lámpa;40;230;0,4
